 v 8
 vu 1
 u 2
 n 13
 vl 1
 w 8
 i 1
 r 2
 p 1
  1
 a 4
 m 1
 q 1
 d 2
 c 1
 nh 1
 nd 1
p h 62
p nhs 307
p q 291
p c 46
p x 4
p ws 154
p vl 19
p nz 8
p f 43
p k 3
p o 6
p  1
q u 999
q n 9842
q i 197
q nt 514
q w 3435
q nd 302
q a 2078
q q 454
q p 240
q ns 100
q vu 67
q v 2209
q m 428
q ws 21
q vl 130
q d 570
q nl 104
q nh 34
q vd 25
q r 144
q c 120
q f 39
q h 15
q k 30
q j 58
q x 4
q ni 9
q nhf 10
q nhs 4
q mq 6
q nz 1
q  1
q e 3
q o 3
r a 3093
r v 13569
r u 6155
r n 10713
r vl 2333
r d 7313
r vu 1384
r p 2548
r q 2739
r c 793
r vd 390
r nt 972
r r 1853
r w 4014
r m 2140
r nl 595
r i 442
r j 36
r mq 552
r ns 107
r nh 104
r h 23
r k 34
r nd 281
r f 30
r o 20
r nhs 48
r nhf 46
r  6
r ni 10
r ws 9
r x 5
r e 8
u v 17887
u n 52009
u w 19407
u m 4606
u nl 1090
u a 7409
u nhf 202
u q 578
u mq 1243
u d 2040
u nt 1002
u r 3252
u vl 695
u u 1076
u nh 895
u ns 749
u i 603
u j 211
u ws 98
u p 1228
u h 77
u x 29
u vu 272
u nd 529
u c 379
u vd 447
u nhs 253
u e 12
u  2
u f 68
u k 34
u o 61
u ni 83
u nz 4
v w 44106
v a 8709
v nt 3042
v d 5222
v v 28938
v u 41036
v m 7424
v n 51150
v r 12749
v p 6703
v j 399
v nhf 551
v q 1787
v vd 3619
v mq 1894
v nd 2550
v h 130
v vl 1324
v c 2959
v vu 722
v ns 1567
v nl 1400
v nh 1559
v i 779
v ni 143
v nhs 515
v ws 322
v k 821
v o 46
v x 60
v e 46
v f 62
v  6
v nz 9
vd w 3101
vd ns 47
vd u 1681
vd n 523
vd v 1829
vd q 46
vd nh 13
vd d 151
vd vu 21
vd a 141
vd m 188
vd nt 64
vd r 154
vd vd 4
vd j 4
vd p 109
vd vl 16
vd nl 20
vd i 20
vd mq 35
vd c 27
vd nd 23
vd nhf 5
vd ws 9
vd h 1
vd nhs 2
vd o 3
vd e 2
vd k 4
vl w 1210
vl r 1435
vl q 610
vl mq 413
vl m 1038
vl n 3586
vl d 1059
vl p 1709
vl v 2570
vl ns 195
vl a 1408
vl nt 269
vl i 288
vl c 234
vl vu 240
vl nh 257
vl nhs 67
vl vd 26
vl nd 60
vl u 109
vl nl 75
vl h 24
vl j 40
vl nhf 75
vl e 10
vl vl 2
vl ni 35
vl ws 59
vl f 17
vl x 4
vl nz 1
vl o 1
vl  1
vu v 8297
vu p 2243
vu i 143
vu d 862
vu n 292
vu vd 101
vu r 309
vu vl 234
vu a 857
vu nt 43
vu u 146
vu vu 93
vu w 278
vu c 119
vu m 90
vu q 23
vu nhs 5
vu mq 12
vu nd 13
vu ns 5
vu j 3
vu nl 10
vu h 2
vu nh 11
vu k 3
vu  2
vu o 1
vu nhf 3
vu ws 1
vu ni 1
w n 30838
w u 2436
w ns 1822
w d 18257
w r 18971
w p 11497
w vu 2879
w v 33762
w w 23626
w nh 3202
w a 7793
w vl 2851
w i 1832
w m 4037
w c 11784
w nt 3331
w nl 1276
w ni 354
w nd 1654
w nhs 1029
w vd 313
w h 265
w j 566
w mq 581
w nhf 1132
w e 564
w q 687
w x 55
w o 383
w ws 1309
w k 54
w nz 31
w f 91
w  9
ws w 1401
ws p 52
ws vu 18
ws i 3
ws n 394
ws r 13
ws vl 58
ws nl 3
ws nhf 2
ws k 15
ws x 56
ws ws 204
ws c 89
ws m 26
ws u 219
ws v 201
ws a 23
ws d 65
ws nd 63
ws nt 24
ws q 21
ws vd 2
ws nh 2
ws mq 1
x n 65
x x 77
x v 38
x d 3
x w 101
x a 11
x nhs 2
x p 8
x q 3
x ns 3
x ws 38
x c 2
x u 31
x r 11
x nl 2
x i 1
x mq 1
x vd 4
x k 3
x vl 2
x nd 5
x m 2
x nh 3
x ni 1
